Type,Date,Candle_Percent,MACD_Percent
CBullDivg_Hidden,2021-04-05 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-04-17 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-04-22 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-04-22 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-04-23 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-04-23 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-04-25 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-05-13 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-05-15 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-05-15 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-05-17 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-05-17 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-05-29 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-06-18 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-06-20 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-06-20 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-06-21 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-06-21 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-06-22 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-06-22 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-06-22 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-06-22 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-06-26 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-07-14 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-07-15 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-07-15 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-07-16 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-07-16 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-08-05 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-08-17 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-08-19 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-08-19 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-08-25 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-08-26 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-09-01 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-09-01 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-09-10 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-09-10 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-09-21 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-10-24 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-10-24 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-10-27 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-10-27 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-10-28 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-11-05 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-11-06 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-11-06 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-11-19 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-11-19 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-11-22 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-11-22 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-11-23 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-11-23 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-11-28 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-12-03 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-12-03 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-12-10 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-12-10 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-12-18 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-12-18 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-12-29 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-12-29 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-12-31 20:00:00+00:00,0.1,3.25
